MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Gioya LANCEE POSITION,Gioya LANCEE LAP TIME,Gioya LANCEE ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,Toko NANRI POSITION,Toko NANRI LAP TIME,Toko NANRI ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
2,9.72,9.72,3,9.86,9.86,1,9.67,9.67,5,10.04,10.04,4,9.99,9.99,6,10.25,10.25
2,14.54,24.26,3,14.53,24.39,1,14.47,24.14,5,14.58,24.62,4,14.50,24.49,6,14.50,24.75
2,14.04,38.30,3,14.06,38.45,1,14.02,38.16,5,14.07,38.69,4,14.04,38.53,6,14.07,38.82
1,13.26,51.56,5,13.34,51.79,2,13.47,51.63,6,13.31,52.00,4,13.24,51.77,3,12.86,51.68
2,11.10,1:02.66,5,11.13,1:02.92,4,11.19,1:02.82,6,11.00,1:03.00,3,10.99,1:02.76,1,10.83,1:02.51
2,11.46,1:14.12,4,11.34,1:14.26,6,11.51,1:14.33,3,11.24,1:14.24,5,11.52,1:14.28,1,11.52,1:14.03
2,11.04,1:25.16,4,11.03,1:25.29,3,10.87,1:25.20,6,11.15,1:25.39,5,11.06,1:25.34,1,11.07,1:25.10
3,10.35,1:35.51,5,10.51,1:35.80,1,10.10,1:35.30,6,10.53,1:35.92,4,10.31,1:35.65,2,10.30,1:35.40
3,10.33,1:45.84,5,10.27,1:46.07,1,10.38,1:45.68,6,10.25,1:46.17,4,10.32,1:45.97,2,10.35,1:45.75
3,10.59,1:56.43,5,10.60,1:56.67,1,10.60,1:56.28,6,10.65,1:56.82,4,10.58,1:56.55,2,10.57,1:56.32
2,9.82,2:06.25,5,10.06,2:06.73,3,10.06,2:06.34,6,10.38,2:07.20,4,9.87,2:06.42,1,9.86,2:06.18
2,9.66,2:15.91,5,9.92,2:16.65,3,9.87,2:16.21,6,10.60,2:17.80,4,9.90,2:16.32,1,9.64,2:15.82
2,9.70,2:25.61,5,10.22,2:26.87,3,9.92,2:26.13,6,10.94,2:28.74,4,9.89,2:26.21,1,9.73,2:25.55
2,10.00,2:35.61,5,10.55,2:37.411,3,10.00,2:36.110,6,11.17,2:39.889,4,9.97,2:36.166,1,9.98,2:35.53
