J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Matus UZAK POSITION,Matus UZAK LAP TIME,Matus UZAK ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME
5,8.0391,8.0391,3,7.6661,7.6661,4,7.8689,7.8689,6,8.2101,8.2101,2,7.4768,7.4768,1,7.2627,7.2627
5,9.8615,17.9006,3,10.0894,17.7555,4,9.8933,17.7622,6,9.8433,18.0534,1,9.5072,16.9840,2,10.4925,17.7552
5,9.7424,27.6430,3,9.8492,27.6047,2,9.7742,27.5364,6,9.7563,27.8097,1,9.6199,26.6039,4,9.8827,27.6379
4,10.0296,37.6726,3,10.0468,37.6515,5,10.2197,37.7561,6,10.1679,37.9776,1,9.5808,36.1847,2,9.8238,37.4617
5,9.9677,47.6403,3,9.8644,47.5159,4,9.8416,47.5977,6,9.8402,47.8178,1,9.8691,46.0538,2,9.7776,47.2393
4,10.0076,57.6479,3,10.1082,57.6241,5,10.1436,57.7413,6,10.1109,57.9287,1,9.9432,55.9970,2,9.7835,57.0228
3,10.0718,1:07.7197,5,10.2705,1:07.8946,4,9.9975,1:07.7388,6,10.1752,1:08.1039,1,10.2575,1:06.2545,2,10.5431,1:07.5659
4,10.0761,1:17.7958,5,10.1573,1:18.0519,3,9.8588,1:17.5976,6,9.9999,1:18.1038,1,10.3445,1:16.5990,2,9.9027,1:17.4686
4,9.8912,1:27.6870,5,9.8556,1:27.9075,3,9.9919,1:27.5895,6,10.0080,1:28.1118,1,10.5337,1:27.1327,2,9.9835,1:27.4521
4,10.2986,1:37.9856,5,10.3292,1:38.2367,3,10.3214,1:37.9109,6,10.1456,1:38.2574,2,10.6228,1:37.7555,1,10.2362,1:37.6883
4,10.1575,1:48.1431,6,10.1986,1:48.4353,3,10.0626,1:47.9735,5,10.0635,1:48.3209,2,10.1166,1:47.8721,1,10.1693,1:47.8576
3,9.9003,1:58.0434,5,10.8199,1:59.2552,2,9.8744,1:57.8479,4,9.7768,1:58.0977,6,13.4577,2:01.3298,1,9.8822,1:57.7398
3,9.8150,2:07.8584,5,11.2287,2:10.4839,2,9.7597,2:07.6076,4,9.8417,2:07.9394,6,12.8974,2:14.2272,1,9.7439,2:07.4837
3,9.72,2:17.576,5,11.69,2:22.173,1,9.79,2:17.395,4,9.71,2:17.648,6,14.32,2:28.543,2,9.97,2:17.447
