Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
4,13.60,13.60,5,13.68,13.68,3,13.48,13.48,2,13.44,13.44,1,13.41,13.41
4,9.97,23.57,5,10.02,23.70,3,10.00,23.48,1,9.95,23.39,2,10.05,23.46
2,9.81,33.38,5,9.88,33.58,1,9.56,33.04,3,10.00,33.39,4,10.00,33.46
2,9.82,43.20,5,9.88,43.46,1,10.08,43.12,4,10.06,43.45,3,9.86,43.32
3,10.18,53.38,1,9.90,53.36,2,10.25,53.37,5,10.32,53.77,4,10.22,53.54
2,9.82,1:03.20,1,9.70,1:03.06,3,10.07,1:03.44,5,10.56,1:04.33,4,10.20,1:03.74
1,9.81,1:13.01,2,9.97,1:13.03,3,9.77,1:13.21,5,10.99,1:15.32,4,10.42,1:14.16
1,9.89,1:22.90,2,10.01,1:23.04,3,9.90,1:23.11,5,11.48,1:26.80,4,10.77,1:24.93
1,10.11,1:33.010,3,10.34,1:33.375,2,10.04,1:33.148,5,11.97,1:38.765,4,11.22,1:36.141
