HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME
2,7.25,7.25,4,7.49,7.49,1,7.07,7.07,3,7.46,7.46
4,10.24,17.49,2,9.20,16.69,1,9.41,16.48,3,9.63,17.09
2,8.29,25.78,4,9.77,26.46,1,8.89,25.37,3,9.14,26.23
2,9.33,35.11,3,9.05,35.51,1,9.67,35.04,4,9.29,35.52
1,9.33,44.437,2,9.72,45.224,0,,PEN,3,10.53,46.048
