Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Robert LAWRENCE POSITION,Robert LAWRENCE LAP TIME,Robert LAWRENCE ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,6.86,6.86,1,6.66,6.66,3,6.98,6.98,5,7.42,7.42,4,7.14,7.14
2,8.96,15.82,1,8.95,15.61,3,9.01,15.99,5,9.46,16.88,4,9.04,16.18
2,8.55,24.37,1,8.70,24.31,3,8.57,24.56,5,8.83,25.71,4,8.53,24.71
1,8.79,33.16,2,8.88,33.19,3,8.80,33.36,5,9.09,34.80,4,8.80,33.51
1,9.06,42.213,2,9.21,42.398,3,9.07,42.430,5,9.60,44.391,4,9.01,42.520
