Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME
2,12.99,12.99,3,13.02,13.02,1,12.81,12.81,4,13.03,13.03
2,9.41,22.41,4,9.54,22.56,3,9.60,22.42,1,9.28,22.32
3,9.94,32.35,4,9.93,32.50,1,9.81,32.23,2,9.91,32.23
2,9.42,41.77,4,9.54,42.04,3,9.58,41.82,1,9.52,41.76
1,9.63,51.41,4,9.71,51.75,3,9.87,51.69,2,9.85,51.61
1,9.58,1:00.99,3,9.53,1:01.29,2,9.54,1:01.24,4,27.43,1:19.05
1,9.51,1:10.51,2,9.47,1:10.76,3,9.57,1:10.81,4,21.02,1:40.07
1,9.36,1:19.88,2,9.47,1:20.24,3,9.65,1:20.46,4,13.11,1:53.19
1,9.70,1:29.576,2,9.62,1:29.852,3,9.99,1:30.451,4,12.59,2:05.775
