Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Gisle TVERLAND POSITION,Gisle TVERLAND LAP TIME,Gisle TVERLAND ELAPSED TIME,Matthieu de BOISSET POSITION,Matthieu de BOISSET LAP TIME,Matthieu de BOISSET ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
4,8.793,8.793,3,7.232,7.232,2,7.074,7.074,1,7.057,7.057
1,7.332,16.124,4,9.259,16.491,2,9.162,16.236,3,9.190,16.246
1,8.737,24.861,4,8.907,25.398,3,8.931,25.166,2,8.704,24.949
1,8.722,33.583,4,9.037,34.435,3,8.836,34.001,2,8.659,33.607
1,8.82,42.402,4,9.56,43.988,3,9.03,43.026,2,8.91,42.516
