Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME
3,12.92,12.92,2,12.66,12.66,4,12.92,12.92,1,12.56,12.56
3,10.07,23.00,2,10.06,22.72,4,10.12,23.05,1,10.13,22.69
3,9.35,32.35,2,9.46,32.19,4,9.34,32.39,1,9.31,32.00
4,9.56,41.91,2,9.58,41.78,3,9.50,41.90,1,9.74,41.75
2,9.12,51.04,4,9.53,51.32,3,9.35,51.25,1,9.24,51.00
2,9.68,1:00.72,4,9.59,1:00.91,3,9.62,1:00.88,1,9.64,1:00.65
1,9.22,1:09.95,4,9.29,1:10.21,3,9.30,1:10.18,2,9.37,1:10.02
1,9.10,1:19.05,3,9.42,1:19.64,2,9.19,1:19.37,4,9.68,1:19.70
1,9.42,1:28.466,3,9.73,1:29.368,2,9.50,1:28.870,4,10.43,1:30.121
