Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Azamat NURMAGAMBETOV POSITION,Azamat NURMAGAMBETOV LAP TIME,Azamat NURMAGAMBETOV ELAPSED TIME
1,6.92,6.92,2,7.02,7.02,3,7.21,7.21,4,7.32,7.32
1,9.23,16.15,2,9.19,16.21,3,9.19,16.40,4,9.29,16.61
4,9.68,25.83,1,8.95,25.16,2,8.87,25.27,3,9.00,25.61
4,9.88,35.71,1,9.00,34.16,2,9.09,34.36,3,9.83,35.44
2,9.47,45.172,0,,PEN,1,9.35,43.709,3,9.90,45.339
