FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,Aaron HEO POSITION,Aaron HEO LAP TIME,Aaron HEO ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Hijiri IWASHITA POSITION,Hijiri IWASHITA LAP TIME,Hijiri IWASHITA ELAPSED TIME
3,12.59,12.59,1,12.43,,4,12.75,,2,12.45,,5,12.94,12.94
3,9.38,21.97,2,9.45,,5,9.32,,1,9.35,,4,9.09,22.03
3,9.31,31.28,2,9.33,,5,9.43,,1,9.31,,4,9.36,31.39
4,9.09,40.37,2,9.03,,5,8.94,,1,9.12,,3,8.96,40.35
2,8.91,49.28,1,8.92,,5,8.98,,4,9.16,,2,8.93,49.28
4,33.84,1:23.12,2,8.94,,3,9.45,,5,43.35,,1,8.81,58.09
4,15.43,1:38.55,2,8.99,,3,9.07,,5,17.44,,1,8.82,1:06.91
4,12.33,1:50.88,2,8.84,,3,9.17,,5,12.66,,1,8.92,1:15.83
2,11.83,2:02.718,1,9.77,,2,9.78,,5,12.77,,3,22.58,1:38.41
