Evelina RODIGARI POSITION,Evelina RODIGARI LAP TIME,Evelina RODIGARI ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Alanna KRAUS POSITION,Alanna KRAUS LAP TIME,Alanna KRAUS ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME,Ikue TESHIGAWARA POSITION,Ikue TESHIGAWARA LAP TIME,Ikue TESHIGAWARA ELAPSED TIME
1,13.015,13.015,5,13.705,13.705,3,13.298,13.298,4,13.431,13.431,2,13.167,13.167,6,13.902,13.902
1,18.419,31.434,5,18.529,32.234,3,18.496,31.794,4,18.650,32.080,2,18.572,31.738,6,18.479,32.381
1,16.517,47.951,6,16.675,48.908,3,16.554,48.347,4,16.423,48.503,2,16.550,48.288,5,16.401,48.781
2,16.278,1:04.228,3,15.468,1:04.375,4,16.056,1:04.403,1,15.700,1:04.203,5,16.169,1:04.457,6,15.727,1:04.508
5,12.698,1:16.925,2,12.126,1:16.501,1,12.074,1:16.476,3,12.475,1:16.677,6,12.544,1:17.000,4,12.405,1:16.912
6,11.877,1:28.802,3,11.954,1:28.454,2,11.966,1:28.441,4,11.831,1:28.508,1,11.048,1:28.048,5,11.883,1:28.795
6,11.422,1:40.224,1,11.277,1:39.731,4,11.469,1:39.910,2,11.266,1:39.774,3,11.763,1:39.811,5,11.365,1:40.160
5,10.624,1:50.847,2,10.865,1:50.596,4,10.839,1:50.748,1,10.805,1:50.578,3,10.929,1:50.740,6,10.749,1:50.909
4,10.820,2:01.667,2,10.832,2:01.427,3,10.770,2:01.518,1,10.803,2:01.380,5,11.001,2:01.741,6,10.994,2:01.902
4,10.731,2:12.398,1,10.708,2:12.135,3,10.759,2:12.277,2,10.786,2:12.166,5,10.740,2:12.480,6,10.785,2:12.687
4,10.526,2:22.923,2,10.478,2:22.612,3,10.500,2:22.776,1,10.382,2:22.547,5,10.568,2:23.048,6,10.485,2:23.172
4,10.253,2:33.176,1,10.142,2:32.754,3,10.226,2:33.002,2,10.331,2:32.878,5,10.253,2:33.301,6,10.285,2:33.456
5,10.397,2:43.573,1,9.737,2:42.490,3,10.005,2:43.007,2,9.929,2:42.806,4,10.266,2:43.566,6,10.365,2:43.821
5,10.74,2:54.313,1,10.44,2:52.930,3,10.40,2:53.407,2,10.27,2:53.073,4,10.24,2:53.803,6,10.60,2:54.420
