Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Andrej VALACH POSITION,Andrej VALACH LAP TIME,Andrej VALACH ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME
1,13.59,13.59,4,13.77,13.77,2,13.65,13.65,3,13.71,13.71
2,9.99,23.58,1,9.80,23.58,4,10.20,23.85,3,9.95,23.66
3,9.66,33.24,2,9.63,33.21,1,9.21,33.06,4,9.82,33.49
1,9.48,42.73,3,9.52,42.74,2,9.66,42.73,4,9.70,43.19
3,9.68,52.42,2,9.56,52.30,1,9.52,52.25,4,9.82,53.01
3,9.36,1:01.79,2,9.44,1:01.74,1,9.38,1:01.64,4,10.14,1:03.15
1,9.31,1:11.10,2,9.42,1:11.16,3,9.63,1:11.27,4,10.56,1:13.72
2,9.49,1:20.59,3,9.61,1:20.78,1,9.05,1:20.32,4,11.01,1:24.74
2,9.62,1:30.204,3,10.00,1:30.775,1,9.82,1:30.138,4,10.98,1:35.717
