Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
2,13.15,13.15,3,13.28,13.28,4,13.51,13.51,1,13.10,13.10
2,10.10,23.25,1,9.91,23.19,4,9.95,23.46,3,10.18,23.28
2,9.46,32.71,1,9.40,32.59,4,9.50,32.96,3,9.55,32.83
1,9.42,42.13,2,9.66,42.25,4,9.58,42.54,3,9.55,42.38
1,9.62,51.75,2,9.61,51.86,4,9.53,52.07,3,9.68,52.06
1,9.53,1:01.28,2,9.53,1:01.39,3,9.33,1:01.40,4,9.42,1:01.48
4,9.49,1:10.77,2,9.16,1:10.55,1,8.81,1:10.21,3,9.25,1:10.73
4,9.63,1:20.40,2,9.21,1:19.76,1,8.98,1:19.19,3,9.28,1:20.01
4,10.12,1:30.512,2,9.48,1:29.233,1,9.41,1:28.594,3,9.34,1:29.343
