Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Minto SEKAI POSITION,Minto SEKAI LAP TIME,Minto SEKAI ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Ales GORECKI POSITION,Ales GORECKI LAP TIME,Ales GORECKI ELAPSED TIME
3,13.70,13.70,2,13.62,13.62,4,13.83,13.83,1,13.51,13.51
3,10.12,23.82,1,10.05,23.67,4,10.13,23.96,2,10.29,23.80
3,22.52,46.34,1,9.97,33.64,2,9.91,33.87,4,42.36,1:06.16
3,11.32,57.66,1,9.96,43.60,2,9.87,43.74,4,18.17,1:24.33
3,11.21,1:08.87,1,9.94,53.54,2,9.96,53.70,4,13.74,1:38.07
3,11.13,1:20.00,1,9.72,1:03.26,2,9.68,1:03.38,4,12.78,1:50.85
3,11.08,1:31.08,1,9.65,1:12.91,2,9.66,1:13.04,4,12.19,2:03.04
3,11.25,1:42.33,1,9.57,1:22.48,2,9.53,1:22.57,4,11.77,2:14.81
3,11.54,1:53.866,1,9.81,1:32.289,2,10.15,1:32.719,0,,PEN
