Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Azamat SULTANALIYEV POSITION,Azamat SULTANALIYEV LAP TIME,Azamat SULTANALIYEV ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME
1,7.900,7.900,2,7.940,7.940,5,8.150,8.150,3,8.000,8.000,6,8.270,8.270,4,8.030,8.030
3,11.630,19.540,6,11.700,19.650,4,11.400,19.560,2,11.450,19.450,1,11.160,19.430,5,11.600,19.630
5,10.540,30.090,1,10.090,29.740,6,10.790,30.350,4,10.510,29.970,2,10.370,29.800,3,10.310,29.950
6,10.470,40.570,5,10.750,40.500,2,9.790,40.150,1,9.960,39.940,3,10.510,40.320,4,10.460,40.410
6,10.630,51.200,5,10.680,51.190,1,10.750,50.900,4,11.120,51.060,3,10.730,51.050,2,10.510,50.930
6,10.550,1:01.760,4,10.380,1:01.570,3,10.550,1:01.450,1,10.250,1:01.310,5,10.670,1:01.730,2,10.520,1:01.450
6,10.670,1:12.440,3,10.620,1:12.200,2,10.740,1:12.190,1,10.800,1:12.120,4,10.470,1:12.200,5,10.760,1:12.210
6,10.770,1:23.210,3,10.660,1:22.860,4,10.700,1:22.900,1,10.480,1:22.610,5,11.000,1:23.210,2,10.570,1:22.780
5,10.160,1:33.380,4,10.360,1:33.230,3,10.160,1:33.070,2,10.320,1:32.930,6,10.230,1:33.440,1,10.080,1:32.860
3,9.530,1:42.910,5,9.800,1:43.030,1,9.560,1:42.630,4,10.000,1:42.940,6,10.600,1:44.050,2,9.900,1:42.760
3,9.600,1:52.520,5,10.110,1:53.140,2,9.850,1:52.480,4,9.760,1:52.700,6,11.250,1:55.300,1,9.640,1:52.410
3,9.720,2:02.240,5,10.560,2:03.710,2,9.570,2:02.050,4,9.770,2:02.480,6,11.910,2:07.220,1,9.580,2:02.000
3,9.460,2:11.700,5,11.210,2:14.920,2,9.410,2:11.470,4,9.400,2:11.880,6,12.330,2:19.550,1,9.400,2:11.410
3,10.230,2:21.940,5,11.540,2:26.460,1,9.640,2:21.110,4,10.100,2:21.980,6,13.010,2:32.570,2,9.740,2:21.160
