Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,WANG Hong Yang POSITION,WANG Hong Yang LAP TIME,WANG Hong Yang ELAPSED TIME
1,6.865,6.865,3,7.136,7.136,4,7.235,7.235,2,7.036,7.036
1,9.267,16.132,3,9.241,16.377,4,9.389,16.623,2,9.321,16.357
1,8.670,24.803,3,8.788,25.165,4,8.827,25.451,2,8.709,25.066
1,8.818,33.621,4,9.133,34.298,3,8.815,34.266,2,8.815,33.881
4,20.272,53.893,2,8.806,43.103,3,9.046,43.312,1,9.039,42.920
