DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,IZAFATAVA Hanna POSITION,IZAFATAVA Hanna LAP TIME,IZAFATAVA Hanna ELAPSED TIME,NOH Ah Rum POSITION,NOH Ah Rum LAP TIME,NOH Ah Rum ELAPSED TIME
3,16.31,16.31,4,16.35,16.35,2,16.24,16.24,1,16.12,16.12
3,11.33,27.64,4,11.31,27.66,1,11.27,27.51,2,11.45,27.57
3,11.13,38.77,4,11.21,38.87,2,11.23,38.74,1,11.06,38.63
1,10.12,48.89,2,10.11,48.98,4,10.36,49.10,3,10.38,49.01
1,10.55,59.44,2,10.54,59.52,4,10.62,59.72,3,10.63,59.64
1,10.55,1:09.99,2,10.55,1:10.07,4,10.57,1:10.29,3,10.56,1:10.20
1,9.78,1:19.77,2,9.83,1:19.90,4,9.90,1:20.19,3,9.76,1:19.96
1,9.43,1:29.20,3,9.71,1:29.61,4,9.80,1:29.99,2,9.35,1:29.31
2,9.44,1:38.64,3,10.04,1:39.65,4,9.90,1:39.89,1,9.23,1:38.54
