Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME
3,15.478,15.478,2,15.271,15.271,4,15.660,15.660,1,15.266,15.266
3,11.637,27.114,2,11.682,26.953,4,11.526,27.185,1,11.481,26.746
3,11.039,38.153,1,11.009,37.961,4,11.082,38.267,2,11.290,38.035
3,9.993,48.145,1,9.851,47.811,2,9.613,47.880,4,10.150,48.184
4,9.614,57.758,1,9.461,57.272,2,9.567,57.447,3,9.570,57.754
4,9.530,1:07.288,1,9.418,1:06.690,2,9.295,1:06.742,3,9.415,1:07.168
4,9.422,1:16.710,2,9.437,1:16.126,1,9.376,1:16.117,3,9.501,1:16.669
3,9.446,1:26.156,1,9.321,1:25.447,2,9.397,1:25.514,4,9.650,1:26.319
3,9.84,1:35.993,2,9.84,1:35.282,1,9.42,1:34.931,4,9.78,1:36.092
