Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,LIU Heinrich POSITION,LIU Heinrich LAP TIME,LIU Heinrich ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME
3,7.29,7.29,1,6.92,6.92,2,7.03,7.03,5,7.71,7.71,4,7.39,7.39
3,9.35,16.64,1,9.00,15.92,2,9.04,16.07,5,10.06,17.77,4,9.40,16.79
4,9.27,25.91,1,8.82,24.74,2,8.79,24.86,5,9.61,27.38,3,9.11,25.90
5,29.95,55.86,1,9.20,33.94,2,9.11,33.97,4,10.16,37.54,3,9.50,35.40
5,14.40,1:10.240,2,9.79,43.717,1,9.28,43.240,4,10.61,48.137,3,9.96,45.343
