Anja OBRADOVIC POSITION,Anja OBRADOVIC LAP TIME,Anja OBRADOVIC ELAPSED TIME,Hanna SOKOLOWSKA POSITION,Hanna SOKOLOWSKA LAP TIME,Hanna SOKOLOWSKA ELAPSED TIME,KIM Chae Hyun POSITION,KIM Chae Hyun LAP TIME,KIM Chae Hyun ELAPSED TIME,PARK Yoon Jung POSITION,PARK Yoon Jung LAP TIME,PARK Yoon Jung ELAPSED TIME,IVANDIC Maja POSITION,IVANDIC Maja LAP TIME,IVANDIC Maja ELAPSED TIME,Siyu WANG POSITION,Siyu WANG LAP TIME,Siyu WANG ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME
4,11.22,11.22,2,10.79,10.79,5,11.61,11.61,6,11.76,11.76,3,10.98,10.98,1,10.66,10.66,7,11.91,11.91
6,13.77,24.99,3,13.81,24.60,5,13.36,24.97,1,12.65,24.41,4,13.82,24.80,2,13.82,24.48,7,13.41,25.32
6,10.45,35.44,2,10.35,34.95,3,10.08,35.05,1,10.43,34.84,5,10.55,35.35,4,10.64,35.12,7,10.28,35.60
7,9.97,45.41,3,9.98,44.93,1,9.70,44.75,2,10.00,44.84,5,9.95,45.30,4,9.90,45.02,6,9.76,45.36
7,10.51,55.92,3,10.51,55.44,1,10.52,55.27,2,10.51,55.35,5,10.38,55.68,4,10.52,55.54,6,10.44,55.80
7,10.68,1:06.60,3,10.59,1:06.03,2,10.62,1:05.89,1,10.51,1:05.86,5,10.65,1:06.33,4,10.61,1:06.15,6,10.63,1:06.43
7,10.75,1:17.35,3,10.29,1:16.32,2,10.32,1:16.21,1,10.23,1:16.09,6,10.47,1:16.80,4,10.27,1:16.42,5,10.09,1:16.52
7,11.26,1:28.61,3,10.34,1:26.66,2,10.32,1:26.53,1,10.29,1:26.38,6,10.77,1:27.57,4,10.34,1:26.76,5,10.31,1:26.83
7,11.74,1:40.35,3,10.30,1:36.96,2,10.31,1:36.84,1,10.37,1:36.75,6,11.26,1:38.83,4,10.30,1:37.06,5,10.34,1:37.17
7,12.27,1:52.62,4,10.28,1:47.24,2,10.20,1:47.04,1,10.20,1:46.95,6,11.83,1:50.66,5,10.39,1:47.45,3,10.04,1:47.21
7,12.59,2:05.21,4,10.37,1:57.61,3,9.95,1:56.99,1,9.82,1:56.77,6,12.50,2:03.16,5,10.32,1:57.77,2,9.57,1:56.78
7,13.23,2:18.44,4,10.80,2:08.41,3,9.95,2:06.94,2,9.82,2:06.59,6,13.30,2:16.46,5,10.76,2:08.53,1,9.34,2:06.12
7,12.63,2:31.07,4,11.11,2:19.52,3,10.19,2:17.13,2,10.06,2:16.65,6,13.07,2:29.53,5,11.11,2:19.64,1,9.72,2:15.84
7,12.67,2:43.74,4,11.34,2:30.86,3,10.53,2:27.66,2,10.30,2:26.95,6,12.69,2:42.22,5,11.39,2:31.03,1,10.01,2:25.85
