Balazs KNOCH POSITION,Balazs KNOCH LAP TIME,Balazs KNOCH ELAPSED TIME,Andreas TANNER POSITION,Andreas TANNER LAP TIME,Andreas TANNER ELAPSED TIME,Ivan BELOV POSITION,Ivan BELOV LAP TIME,Ivan BELOV ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME
5,14.441,14.441,4,14.376,14.376,3,14.270,14.270,1,14.105,14.105,2,14.232,14.232
5,10.796,25.236,4,10.612,24.987,2,10.449,24.718,3,10.683,24.788,1,10.290,24.522
4,10.013,35.249,5,10.461,35.447,3,10.521,35.239,2,10.349,35.136,1,10.464,34.985
4,10.591,45.839,5,10.525,45.972,3,10.499,45.738,2,10.425,45.561,1,10.497,45.482
4,10.392,56.231,5,10.448,56.419,3,10.426,56.163,2,10.561,56.121,1,10.467,55.949
4,10.074,1:06.304,5,10.125,1:06.543,2,9.940,1:06.103,3,10.030,1:06.151,1,10.124,1:06.072
4,9.676,1:15.979,5,9.767,1:16.310,3,9.851,1:15.953,2,9.632,1:15.783,1,9.650,1:15.721
3,9.653,1:25.631,5,9.662,1:25.972,4,9.784,1:25.736,2,9.392,1:25.175,1,9.360,1:25.081
3,9.63,1:35.259,5,10.07,1:36.034,4,9.97,1:35.701,2,9.70,1:34.873,1,9.52,1:34.599
