HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME
1,9.18,9.18,4,9.45,9.45,6,9.67,,2,9.34,9.34,3,9.44,9.44,8,9.99,9.99,7,9.81,9.81,5,9.65,9.65
1,12.99,22.17,4,13.03,22.48,7,13.08,,3,13.02,22.36,5,13.07,22.51,6,12.55,22.54,8,13.11,22.92,2,12.60,22.25
4,12.38,34.55,7,12.26,34.74,2,11.74,,6,12.34,34.70,3,12.03,34.54,1,11.93,34.47,8,12.08,35.00,5,12.38,34.63
3,11.26,45.81,7,11.55,46.29,1,11.11,,6,11.50,46.20,5,11.53,46.07,2,11.24,45.71,8,11.44,46.44,4,11.30,45.93
4,11.68,57.49,6,11.35,57.64,1,11.53,,7,11.47,57.67,5,11.47,57.54,2,11.62,57.33,8,11.36,57.80,3,11.50,57.43
5,10.85,1:08.34,3,10.42,1:08.06,2,10.91,,7,10.90,1:08.57,6,10.91,1:08.45,1,10.62,1:07.95,8,10.95,1:08.75,4,10.80,1:08.23
4,10.27,1:18.61,2,10.42,1:18.48,5,10.58,,7,10.20,1:18.77,6,10.18,1:18.63,1,10.43,1:18.38,8,10.19,1:18.94,3,10.34,1:18.57
3,9.98,1:28.59,2,10.04,1:28.52,6,10.31,,7,10.29,1:29.06,4,10.06,1:28.69,1,10.02,1:28.40,8,10.32,1:29.26,5,10.24,1:28.81
3,10.16,1:38.75,2,10.12,1:38.64,6,10.03,,7,9.99,1:39.05,4,10.13,1:38.82,1,10.17,1:38.57,8,9.96,1:39.22,5,10.10,1:38.91
3,10.11,1:48.86,2,10.13,1:48.77,7,10.25,,6,10.14,1:49.19,4,10.16,1:48.98,1,10.10,1:48.67,8,10.33,1:49.55,5,10.22,1:49.13
3,9.86,1:58.72,2,9.87,1:58.64,7,9.80,,4,9.63,1:58.82,5,9.85,1:58.83,1,9.87,1:58.54,8,10.17,1:59.72,6,9.83,1:58.96
4,9.87,2:08.59,2,9.81,2:08.45,6,9.76,,3,9.68,2:08.50,5,9.85,2:08.68,1,9.74,2:08.28,8,10.29,2:10.01,7,9.91,2:08.87
4,9.91,2:18.50,2,9.83,2:18.28,6,11.11,,3,9.86,2:18.36,8,27.17,2:35.85,1,9.83,2:18.11,7,10.68,2:20.69,5,9.98,2:18.85
0,,PHOTO,2,10.16,2:28.44,7,17.03,,3,10.16,2:28.52,8,20.03,2:55.88,1,10.15,2:28.26,6,11.11,2:31.80,0,,PHOTO
