Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME
2,8.36,8.36,3,8.46,8.46,4,8.47,8.47,5,8.67,8.67,1,8.31,8.31,6,8.84,8.84
4,11.90,20.26,2,11.70,20.16,3,11.77,20.24,5,11.71,20.38,1,11.77,20.08,6,11.76,20.60
4,11.11,31.37,2,10.97,31.13,3,11.02,31.26,5,11.10,31.48,1,10.94,31.02,6,11.01,31.61
4,10.81,42.18,2,10.84,41.97,3,10.80,42.06,5,10.79,42.27,1,10.88,41.90,6,10.79,42.40
4,10.58,52.76,2,10.61,52.58,3,10.59,52.65,6,10.62,52.89,1,10.58,52.48,5,10.43,52.83
4,9.93,1:02.69,2,9.95,1:02.53,3,9.95,1:02.60,5,9.89,1:02.78,1,9.98,1:02.46,6,9.97,1:02.80
4,10.27,1:12.96,2,10.23,1:12.76,3,10.26,1:12.86,5,10.27,1:13.05,1,10.19,1:12.65,6,10.33,1:13.13
4,10.32,1:23.28,2,10.29,1:23.05,3,10.26,1:23.12,5,10.37,1:23.42,1,10.33,1:22.98,6,10.37,1:23.50
4,10.01,1:33.29,2,10.03,1:33.08,3,10.06,1:33.18,5,10.08,1:33.50,1,10.00,1:32.98,6,10.09,1:33.59
4,9.84,1:43.13,2,9.82,1:42.90,3,9.81,1:42.99,5,9.92,1:43.42,1,9.83,1:42.81,6,9.87,1:43.46
4,9.70,1:52.83,2,9.71,1:52.61,3,9.70,1:52.69,6,10.30,1:53.72,1,9.70,1:52.51,5,9.93,1:53.39
4,9.63,2:02.46,2,9.62,2:02.23,3,9.62,2:02.31,6,10.86,2:04.58,1,9.62,2:02.13,5,10.20,2:03.59
4,9.90,2:12.36,2,9.68,2:11.91,3,9.67,2:11.98,6,11.38,2:15.96,1,9.63,2:11.76,5,10.53,2:14.12
4,10.60,2:22.953,2,9.92,2:21.826,3,9.92,2:21.900,6,11.86,2:27.817,1,9.87,2:21.626,5,11.02,2:25.140
