Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME
2,14.21,14.21,4,14.40,14.40,3,14.30,14.30,5,14.49,14.49,1,14.07,14.07
2,11.64,25.85,4,11.68,26.08,3,11.64,25.94,5,11.72,26.21,1,11.67,25.74
1,10.46,36.31,4,10.50,36.58,3,10.46,36.40,5,10.50,36.71,2,10.63,36.37
2,9.79,46.10,4,9.85,46.43,1,9.49,45.89,5,9.84,46.55,3,9.89,46.26
1,9.52,55.62,4,9.48,55.91,2,9.75,55.64,5,9.53,56.08,3,9.53,55.79
1,9.63,1:05.25,4,9.62,1:05.53,2,9.69,1:05.33,5,9.62,1:05.70,3,9.63,1:05.42
1,9.76,1:15.01,4,9.85,1:15.38,2,9.77,1:15.10,5,9.81,1:15.51,3,9.82,1:15.24
1,9.76,1:24.77,4,9.86,1:25.24,2,9.76,1:24.86,5,10.14,1:25.65,3,9.82,1:25.06
1,9.78,1:34.55,4,9.80,1:35.04,2,9.76,1:34.62,5,10.59,1:36.24,3,9.80,1:34.86
