Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Jonathan GARCIA POSITION,Jonathan GARCIA LAP TIME,Jonathan GARCIA ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME
3,8.71,8.71,4,8.87,8.87,2,8.59,8.59,1,8.47,8.47,6,9.19,9.19,5,8.96,8.96
5,11.25,19.96,6,11.31,20.18,4,11.25,19.84,1,11.17,19.64,3,10.59,19.78,2,10.78,19.74
5,9.78,29.74,6,9.71,29.89,4,9.81,29.65,2,9.73,29.37,1,9.51,29.29,3,9.72,29.46
5,10.04,39.78,6,10.06,39.95,3,9.97,39.62,1,10.08,39.45,2,10.25,39.54,4,10.18,39.64
5,9.74,49.52,6,9.71,49.66,1,9.50,49.12,2,9.78,49.23,3,9.77,49.31,4,9.78,49.42
5,10.16,59.68,6,10.14,59.80,1,10.15,59.27,2,10.13,59.36,3,10.07,59.38,4,10.13,59.55
5,9.76,1:09.44,6,9.75,1:09.55,1,9.65,1:08.92,2,9.63,1:08.99,3,9.73,1:09.11,4,9.69,1:09.24
5,9.40,1:18.84,6,9.40,1:18.95,2,9.64,1:18.56,1,9.49,1:18.48,3,9.47,1:18.58,4,9.47,1:18.71
5,9.49,1:28.33,6,9.49,1:28.44,2,9.43,1:27.99,1,9.36,1:27.84,3,9.51,1:28.09,4,9.51,1:28.22
5,9.65,1:37.98,6,9.67,1:38.11,2,9.65,1:37.64,1,9.75,1:37.59,3,9.67,1:37.76,4,9.64,1:37.86
4,9.30,1:47.28,5,9.24,1:47.35,1,9.31,1:46.95,2,9.54,1:47.13,3,9.47,1:47.23,6,9.56,1:47.42
4,9.47,1:56.75,2,8.86,1:56.21,1,9.25,1:56.20,3,9.53,1:56.66,5,9.73,1:56.96,6,10.04,1:57.46
3,9.30,2:06.05,1,9.05,2:05.26,2,9.63,2:05.83,4,9.57,2:06.23,5,9.66,2:06.62,6,10.34,2:07.80
2,9.33,2:15.376,1,9.14,2:14.392,4,10.14,2:15.967,3,9.74,2:15.961,5,9.76,2:16.374,6,10.57,2:18.362
