LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME
1,12.84,12.84,2,12.89,12.89,5,13.17,13.17,4,13.06,13.06,3,13.02,13.02
2,9.38,22.22,1,9.24,22.13,5,9.42,22.59,4,9.43,22.49,3,9.31,22.33
2,9.69,31.91,1,9.70,31.83,3,9.33,31.92,5,9.64,32.13,4,9.71,32.04
3,9.56,41.47,2,9.54,41.37,1,9.35,41.27,5,9.60,41.73,4,9.56,41.60
3,9.63,51.10,1,9.52,50.89,2,9.76,51.03,5,9.60,51.33,4,9.61,51.21
3,9.69,1:00.79,1,9.73,1:00.62,2,9.68,1:00.71,5,9.68,1:01.01,4,9.60,1:00.81
4,9.91,1:10.70,1,9.70,1:10.32,2,9.81,1:10.52,5,9.84,1:10.85,3,9.75,1:10.56
3,9.63,1:20.33,1,9.79,1:20.11,4,9.84,1:20.36,5,9.71,1:20.56,2,9.64,1:20.20
3,9.66,1:29.986,1,9.74,1:29.848,5,10.32,1:30.680,4,9.78,1:30.331,2,9.74,1:29.936
