Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
1,13.57,13.57,3,13.67,13.67,2,13.65,13.65,4,13.90,13.90
2,10.68,24.25,3,10.63,24.30,1,10.56,24.21,4,10.58,24.48
2,9.96,34.21,3,9.94,34.24,1,9.94,34.15,4,9.95,34.43
3,9.89,44.10,2,9.77,44.01,1,9.74,43.89,4,9.78,44.21
3,9.73,53.83,2,9.73,53.74,1,9.74,53.63,4,9.77,53.98
2,9.35,1:03.18,4,9.70,1:03.44,1,9.27,1:02.90,3,9.21,1:03.19
3,9.37,1:12.55,4,9.25,1:12.69,1,9.30,1:12.20,2,9.20,1:12.39
3,9.31,1:21.86,4,9.23,1:21.92,1,9.40,1:21.60,2,9.36,1:21.75
0,,PEN,0,,PEN,1,9.62,1:31.219,2,27.39,1:49.132
