Samra SELIMBEGOVIC POSITION,Samra SELIMBEGOVIC LAP TIME,Samra SELIMBEGOVIC ELAPSED TIME,Emma van ZUIJLEN POSITION,Emma van ZUIJLEN LAP TIME,Emma van ZUIJLEN ELAPSED TIME,Melissa TUNNO POSITION,Melissa TUNNO LAP TIME,Melissa TUNNO ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
5,8.42,8.42,2,8.01,8.01,1,7.82,7.82,2,8.01,8.01,4,8.24,
5,10.66,19.08,3,9.87,17.88,1,9.90,17.72,2,9.76,17.77,4,9.74,
5,10.18,29.26,4,9.66,27.54,1,9.43,27.15,3,9.65,27.42,2,9.34,
5,10.65,39.91,4,9.45,36.99,1,9.59,36.74,3,9.50,36.92,2,9.49,
4,11.34,51.25,3,9.99,46.957,1,9.99,46.73,2,9.91,46.83,5,34.19,
