EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
4,9.53,9.53,6,9.62,9.62,3,9.49,9.49,5,9.61,9.61,1,9.17,9.17,2,9.30,9.30
3,13.81,23.34,6,14.03,23.65,4,14.00,23.49,5,13.97,23.58,1,13.82,22.99,2,13.91,23.21
3,12.94,36.28,6,13.08,36.73,4,13.01,36.50,5,13.06,36.64,2,13.24,36.23,1,12.91,36.12
3,12.50,48.78,6,12.36,49.09,3,12.28,48.78,5,12.35,48.99,2,12.43,48.66,1,12.45,48.57
4,10.63,59.41,6,10.55,59.64,1,10.37,59.15,5,10.56,59.55,3,10.64,59.30,2,10.64,59.21
4,10.45,1:09.86,5,10.24,1:09.88,1,10.51,1:09.66,6,10.42,1:09.97,3,10.48,1:09.78,2,10.53,1:09.74
4,10.40,1:20.26,3,10.26,1:20.14,1,10.27,1:19.93,5,10.35,1:20.32,6,10.60,1:20.38,2,10.30,1:20.04
4,10.40,1:30.66,2,10.37,1:30.51,1,10.47,1:30.40,5,10.43,1:30.75,6,10.38,1:30.76,3,10.49,1:30.53
5,9.89,1:40.55,1,9.58,1:40.09,3,10.06,1:40.46,6,9.92,1:40.67,4,9.74,1:40.50,2,9.79,1:40.32
4,9.77,1:50.32,1,9.78,1:49.87,3,9.72,1:50.18,6,9.81,1:50.48,5,9.83,1:50.33,2,9.66,1:49.98
3,9.77,2:00.09,1,9.99,1:59.86,4,10.09,2:00.27,5,9.91,2:00.39,6,10.11,2:00.44,2,10.00,1:59.98
3,10.02,2:10.11,1,9.94,2:09.80,4,10.06,2:10.33,5,10.08,2:10.47,6,10.17,2:10.61,2,9.96,2:09.94
3,9.82,2:19.93,1,9.92,2:19.72,4,9.92,2:20.25,5,9.93,2:20.40,6,10.25,2:20.86,2,9.90,2:19.84
3,10.12,2:30.05,1,10.04,2:29.76,4,10.23,2:30.48,5,10.40,2:30.80,6,10.94,2:31.80,2,10.11,2:29.95
