Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
6,9.03,9.03,4,8.91,8.91,3,8.77,8.77,7,9.13,9.13,1,8.66,8.66,2,8.74,8.74,5,8.98,8.98
7,11.77,20.80,6,11.68,20.59,4,11.65,20.42,5,11.41,20.54,1,11.58,20.24,3,11.62,20.36,2,11.29,20.27
5,10.82,31.62,6,11.10,31.69,3,11.00,31.42,7,11.19,31.73,1,10.97,31.21,4,11.15,31.51,2,11.03,31.30
6,10.22,41.84,2,9.78,41.47,3,10.13,41.55,7,10.25,41.98,1,10.18,41.39,5,10.21,41.72,4,10.31,41.61
6,10.33,52.17,2,10.34,51.81,4,10.37,51.92,7,10.29,52.27,1,10.33,51.72,3,10.19,51.91,5,10.45,52.06
6,9.66,1:01.83,3,9.73,1:01.54,4,9.72,1:01.64,7,9.69,1:01.96,1,9.65,1:01.37,2,9.56,1:01.47,5,9.69,1:01.75
7,9.99,1:11.82,3,10.04,1:11.58,5,10.07,1:11.71,6,9.79,1:11.75,1,10.06,1:11.43,2,10.02,1:11.49,4,9.84,1:11.59
6,9.92,1:21.74,3,9.90,1:21.48,5,9.96,1:21.67,4,9.81,1:21.56,1,9.85,1:21.28,2,9.88,1:21.37,7,10.20,1:21.79
6,9.82,1:31.56,3,9.75,1:31.23,5,9.78,1:31.45,4,9.78,1:31.34,1,9.73,1:31.01,2,9.77,1:31.14,7,9.90,1:31.69
6,9.28,1:40.84,3,9.32,1:40.55,4,9.23,1:40.68,5,9.42,1:40.76,1,9.33,1:40.34,2,9.33,1:40.47,7,9.27,1:40.96
6,9.26,1:50.10,3,9.17,1:49.72,4,9.14,1:49.82,5,9.16,1:49.92,1,9.17,1:49.51,2,9.12,1:49.59,7,9.17,1:50.13
7,9.47,1:59.57,3,9.22,1:58.94,4,9.18,1:59.00,5,9.25,1:59.17,1,9.21,1:58.72,2,9.29,1:58.88,6,9.05,1:59.18
7,9.84,2:09.41,4,9.71,2:08.65,5,9.92,2:08.92,6,9.90,2:09.07,1,9.27,2:07.99,2,9.20,2:08.08,3,9.07,2:08.25
6,10.20,2:19.606,4,9.89,2:18.534,5,10.30,2:19.215,7,10.72,2:19.782,1,9.41,2:17.397,2,9.42,2:17.496,3,9.39,2:17.634
