Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME
1,6.97,6.97,2,7.07,7.07,3,7.35,7.35
2,9.30,16.28,1,9.17,16.25,3,9.11,16.46
2,8.84,25.12,1,8.81,25.06,3,8.76,25.23
2,8.81,33.93,1,8.85,33.91,3,8.96,34.19
1,9.08,43.009,2,9.19,43.097,3,9.09,43.273
