Mukerrem DENIZ POSITION,Mukerrem DENIZ LAP TIME,Mukerrem DENIZ ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,Artem KHMELIVSKYI POSITION,Artem KHMELIVSKYI LAP TIME,Artem KHMELIVSKYI ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME
2,12.58,12.58,4,12.74,12.74,1,12.46,12.46,5,12.98,12.98,3,12.62,12.62
2,9.73,22.31,3,9.70,22.44,1,9.72,22.18,5,9.61,22.59,4,9.83,22.45
2,9.72,32.03,4,9.75,32.19,1,9.74,31.92,5,9.71,32.30,3,9.59,32.04
2,9.64,41.67,4,9.77,41.96,1,9.67,41.59,5,9.79,42.09,3,9.76,41.80
2,9.62,51.29,4,9.57,51.53,1,9.61,51.20,5,9.55,51.64,3,9.62,51.42
2,9.68,1:00.97,4,9.63,1:01.16,1,9.65,1:00.85,5,9.64,1:01.28,3,9.67,1:01.09
3,9.71,1:10.68,2,9.50,1:10.66,1,9.56,1:10.41,5,9.74,1:11.02,4,9.69,1:10.78
4,10.06,1:20.74,1,9.31,1:19.97,1,9.56,1:19.97,5,9.92,1:20.94,3,9.73,1:20.51
4,10.15,1:30.89,1,9.21,1:29.18,2,9.35,1:29.32,5,10.05,1:30.99,3,9.84,1:30.35
