EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,Samantha MORRISON POSITION,Samantha MORRISON LAP TIME,Samantha MORRISON ELAPSED TIME,MYKHALCHUK Diana POSITION,MYKHALCHUK Diana LAP TIME,MYKHALCHUK Diana ELAPSED TIME
5,11.07,11.07,2,10.91,10.91,4,10.99,10.99,1,10.83,10.83,6,11.19,,3,10.92,10.92
2,15.40,26.47,1,15.38,26.29,3,15.61,26.60,5,16.05,26.88,6,15.86,,4,15.82,26.74
2,14.25,40.72,1,14.32,40.61,3,14.24,40.84,4,14.09,40.97,6,14.19,,5,14.34,41.08
2,14.15,54.87,1,14.12,54.73,3,14.16,55.00,4,14.15,55.12,5,13.90,,6,14.13,55.21
3,12.67,1:07.54,1,12.72,1:07.45,4,12.63,1:07.63,5,12.66,1:07.78,1,12.31,,6,12.68,1:07.89
3,11.75,1:19.29,2,11.72,1:19.17,4,11.74,1:19.37,5,11.68,1:19.46,1,11.61,,6,11.70,1:19.59
3,11.64,1:30.93,1,11.66,1:30.83,4,11.65,1:31.02,5,11.61,1:31.07,1,11.77,,6,11.52,1:31.11
4,10.09,1:41.02,1,9.80,1:40.63,5,10.05,1:41.07,1,9.56,1:40.63,3,10.13,,6,11.02,1:42.13
6,27.13,2:08.15,2,9.76,1:50.39,5,26.95,2:08.02,1,9.67,1:50.30,3,10.11,,4,10.44,1:52.57
6,18.90,2:27.05,2,10.13,2:00.52,5,16.27,2:24.29,1,10.21,2:00.51,3,9.93,,4,10.51,2:03.08
6,13.22,2:40.27,1,10.33,2:10.85,5,13.15,2:37.44,2,10.47,2:10.98,3,10.08,,4,10.85,2:13.93
6,11.48,2:51.75,1,10.36,2:21.21,5,12.80,2:50.24,2,10.26,2:21.24,3,10.32,,4,11.08,2:25.01
5,10.65,3:02.40,2,10.45,2:31.66,6,12.38,3:02.62,1,10.00,2:31.24,3,10.36,,4,11.48,2:36.49
4,10.60,3:12.968,3,18.58,2:50.204,5,11.25,3:13.838,1,10.36,2:41.582,3,18.30,,2,11.84,2:48.309
