NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
1,10.25,10.25,6,10.99,10.99,2,10.57,10.57,3,10.58,10.58,5,10.81,10.81,4,10.70,10.70
3,13.42,23.67,6,13.15,24.14,2,13.07,23.64,1,12.93,23.51,4,12.92,23.73,5,13.27,23.97
2,11.57,35.24,6,11.55,35.69,1,11.52,35.16,4,11.85,35.36,5,11.72,35.45,3,11.31,35.28
1,10.89,46.13,6,10.88,46.57,3,11.19,46.35,5,11.09,46.45,4,10.96,46.41,2,10.86,46.14
2,10.01,56.14,4,10.05,56.62,5,10.29,56.64,6,10.24,56.69,1,9.69,56.10,3,10.31,56.45
2,10.23,1:06.37,4,9.97,1:06.59,5,10.00,1:06.64,6,9.96,1:06.65,1,9.96,1:06.06,3,10.13,1:06.58
1,9.40,1:15.77,4,9.29,1:15.88,3,9.17,1:15.81,5,9.34,1:15.99,2,9.74,1:15.80,6,9.55,1:16.13
2,9.07,1:24.84,3,9.20,1:25.08,4,9.33,1:25.14,5,9.29,1:25.28,1,8.94,1:24.74,6,9.28,1:25.41
2,9.45,1:34.29,3,9.41,1:34.49,4,9.40,1:34.54,5,9.29,1:34.57,1,9.39,1:34.13,6,9.29,1:34.70
2,9.15,1:43.44,3,9.10,1:43.59,4,9.16,1:43.70,6,9.37,1:43.94,1,9.05,1:43.18,5,9.12,1:43.82
2,9.03,1:52.47,3,9.07,1:52.66,4,9.04,1:52.74,5,8.89,1:52.83,1,9.09,1:52.27,6,9.13,1:52.95
2,8.85,2:01.32,3,8.99,2:01.65,4,9.09,2:01.83,5,9.03,2:01.86,1,8.96,2:01.23,6,9.02,2:01.97
2,9.01,2:10.33,3,9.13,2:10.78,5,9.02,2:10.85,4,8.99,2:10.85,1,9.04,2:10.27,6,9.10,2:11.07
2,9.67,2:20.000,3,9.30,2:20.081,6,54.36,3:05.203,4,9.24,2:20.083,1,9.69,2:19.960,5,9.89,2:20.957
