TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,ZHANG Chutong POSITION,ZHANG Chutong LAP TIME,ZHANG Chutong ELAPSED TIME,BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME
1,7.43,7.43,4,7.81,7.81,5,7.98,7.98,2,7.47,,3,7.77,7.77
1,9.70,17.13,4,9.60,17.41,5,9.58,17.56,2,9.71,,3,9.44,17.21
5,9.94,27.07,4,9.57,26.98,3,9.21,26.77,2,9.40,,1,9.36,26.57
4,9.60,36.67,3,9.39,36.37,2,9.44,36.21,1,9.45,,5,29.70,56.27
3,9.40,46.074,3,9.36,45.73,2,9.48,45.69,1,9.42,,5,15.00,1:11.27
