Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,Lexi BURKHOLDER POSITION,Lexi BURKHOLDER LAP TIME,Lexi BURKHOLDER ELAPSED TIME,YIN Qi POSITION,YIN Qi LAP TIME,YIN Qi ELAPSED TIME
2,13.63,13.63,5,14.04,14.04,3,13.73,13.73,4,13.91,13.91,6,14.12,14.12,1,13.56,13.56
1,10.51,24.14,5,10.59,24.63,3,10.60,24.33,4,10.57,24.48,6,10.63,24.75,2,10.69,24.25
2,10.23,34.37,5,10.04,34.67,3,10.13,34.46,4,10.01,34.49,6,10.04,34.79,1,9.95,34.20
2,9.79,44.16,4,9.74,44.41,5,10.06,44.52,3,9.80,44.29,6,9.83,44.62,1,9.88,44.08
2,9.94,54.10,4,9.93,54.34,5,9.91,54.43,3,9.89,54.18,6,9.93,54.55,1,9.94,54.02
4,9.86,1:03.96,3,9.59,1:03.93,5,9.67,1:04.10,2,9.63,1:03.81,6,9.85,1:04.40,1,9.69,1:03.71
4,9.70,1:13.66,3,9.62,1:13.55,5,9.68,1:13.78,2,9.63,1:13.44,6,10.10,1:14.50,1,9.66,1:13.37
4,9.89,1:23.55,3,9.88,1:23.43,5,9.81,1:23.59,1,9.84,1:23.28,6,10.51,1:25.01,2,9.92,1:23.29
4,,1:33.473,1,9.63,1:33.06,5,10.07,1:33.642,2,10.07,1:33.35,6,11.05,1:36.037,3,,1:33.468
