Ekaterina STUKANOV POSITION,Ekaterina STUKANOV LAP TIME,Ekaterina STUKANOV ELAPSED TIME,QI Mengyao POSITION,QI Mengyao LAP TIME,QI Mengyao ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Ildiko SZEKELY POSITION,Ildiko SZEKELY LAP TIME,Ildiko SZEKELY ELAPSED TIME
1,16.232,16.232,4,16.906,16.906,2,16.493,16.493,3,16.685,16.685
1,11.643,27.874,2,10.974,27.880,4,11.751,28.244,3,11.337,28.022
2,11.187,39.061,1,10.322,38.202,4,10.998,39.241,3,11.059,39.080
4,10.798,49.859,1,10.672,48.874,2,10.318,49.559,3,10.479,49.559
4,10.520,1:00.379,1,10.766,59.639,2,10.620,1:00.179,3,10.800,1:00.358
3,10.033,1:10.411,1,10.410,1:10.049,2,10.101,1:10.279,4,10.470,1:10.828
3,9.813,1:20.223,1,9.842,1:19.891,2,9.905,1:20.183,4,10.505,1:21.332
3,10.358,1:30.581,1,10.081,1:29.971,2,9.877,1:30.060,4,10.807,1:32.139
3,10.74,1:41.321,2,10.75,1:40.716,1,10.28,1:40.337,4,11.35,1:43.488
