Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,WANG Xingchun POSITION,WANG Xingchun LAP TIME,WANG Xingchun ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
4,9.70,9.70,3,9.54,9.54,6,9.91,9.91,1,9.17,9.17,5,9.73,9.73,2,9.35,9.35
4,12.58,22.28,3,12.58,22.12,6,12.61,22.52,1,12.69,21.86,5,12.67,22.40,2,12.61,21.96
4,12.13,34.41,3,12.17,34.29,6,12.10,34.62,2,12.21,34.07,5,12.11,34.51,1,11.94,33.90
5,10.92,45.33,3,10.96,45.25,6,10.82,45.44,2,11.07,45.14,4,10.75,45.26,1,11.12,45.02
5,10.80,56.13,4,10.76,56.01,6,10.83,56.27,3,10.69,55.83,1,10.38,55.64,2,10.72,55.74
6,10.61,1:06.74,4,10.45,1:06.46,5,10.31,1:06.58,1,10.19,1:06.02,3,10.57,1:06.21,2,10.37,1:06.11
6,10.20,1:16.94,4,10.18,1:16.64,5,10.22,1:16.80,1,10.24,1:16.26,3,10.26,1:16.47,2,10.25,1:16.36
6,9.90,1:26.84,4,9.83,1:26.47,5,9.83,1:26.63,1,9.83,1:26.09,3,9.84,1:26.31,2,9.82,1:26.18
6,9.44,1:36.28,4,9.51,1:35.98,5,9.50,1:36.13,1,9.51,1:35.60,3,9.50,1:35.81,2,9.53,1:35.71
6,9.43,1:45.71,4,9.18,1:45.16,5,9.47,1:45.60,1,9.26,1:44.86,3,9.25,1:45.06,2,9.25,1:44.96
5,9.49,1:55.20,3,9.02,1:54.18,6,9.77,1:55.37,1,9.14,1:54.00,4,9.23,1:54.29,2,9.09,1:54.05
5,9.77,2:04.97,3,9.00,2:03.18,6,10.01,2:05.38,1,9.04,2:03.04,4,9.00,2:03.29,2,9.12,2:03.17
5,10.04,2:15.01,2,9.16,2:12.34,6,10.59,2:15.97,1,9.19,2:12.23,4,9.34,2:12.63,3,9.33,2:12.50
5,10.52,2:25.524,2,9.26,2:21.596,6,10.96,2:26.921,1,9.34,2:21.567,3,9.22,2:21.844,4,9.49,2:21.984
