Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,9.150,9.150,2,9.500,9.500,3,9.840,9.840,6,9.980,9.980,4,9.850,9.850,5,9.870,9.870
1,12.690,21.840,4,12.710,22.210,5,12.400,22.240,2,12.050,22.030,6,12.670,22.530,3,12.330,22.200
1,11.840,33.680,5,12.020,34.240,4,11.810,34.060,2,11.780,33.820,6,11.810,34.340,3,11.750,33.960
2,11.690,45.380,1,11.040,45.280,5,11.900,45.970,4,11.840,45.660,6,11.730,46.080,3,11.560,45.530
2,11.350,56.730,3,11.450,56.740,6,10.960,56.930,1,10.830,56.500,5,10.790,56.870,4,11.250,56.790
3,9.720,1:06.460,2,9.690,1:06.430,1,9.420,1:06.350,5,10.130,1:06.640,4,9.730,1:06.610,6,10.050,1:06.840
2,9.120,1:15.590,3,9.430,1:15.870,1,9.220,1:15.580,4,9.410,1:16.050,5,9.500,1:16.120,6,9.330,1:16.170
1,9.060,1:24.650,3,9.280,1:25.150,2,9.230,1:24.810,4,9.210,1:25.270,5,9.290,1:25.410,6,9.310,1:25.490
1,9.110,1:33.770,4,9.260,1:34.420,2,9.170,1:33.990,3,8.880,1:34.160,5,9.180,1:34.590,6,9.620,1:35.110
1,9.260,1:43.030,3,9.160,1:43.580,2,9.340,1:43.330,4,9.740,1:43.900,5,9.350,1:43.950,6,9.780,1:44.900
1,9.230,1:52.270,4,9.430,1:53.010,2,9.220,1:52.560,3,8.790,1:52.700,5,9.370,1:53.320,6,10.430,1:55.340
1,9.190,2:01.460,3,9.530,2:02.550,2,9.460,2:02.020,4,9.970,2:02.670,5,9.620,2:02.940,6,10.940,2:06.280
1,9.560,2:11.030,5,9.950,2:12.500,2,9.420,2:11.450,3,9.700,2:12.370,4,9.510,2:12.450,6,11.800,2:18.090
1,10.360,2:21.400,5,10.220,2:22.720,2,10.130,2:21.580,3,9.960,2:22.340,4,10.210,2:22.670,6,11.950,2:30.040
