Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME
2,7.10,7.10,4,7.40,7.40,3,7.18,7.18,1,6.80,6.80
3,9.55,16.65,4,9.45,16.85,2,9.27,16.45,1,9.12,15.92
3,8.96,25.61,4,9.01,25.86,2,8.66,25.11,1,8.74,24.66
3,9.15,34.76,4,9.33,35.19,2,8.85,33.96,1,9.09,33.75
3,9.48,44.237,4,9.57,44.756,2,9.16,43.117,1,9.32,43.070
