PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME
1,7.66,7.66,3,7.75,7.75,1,7.66,7.66,4,7.87,7.87
2,9.78,17.44,4,9.75,17.50,1,9.56,17.22,3,9.60,17.47
4,9.50,26.94,3,9.18,26.68,1,9.05,26.27,2,8.87,26.34
4,9.50,36.44,3,9.13,35.81,1,9.21,35.48,2,9.21,35.55
4,9.96,46.40,3,9.29,45.10,1,9.44,44.92,2,9.45,45.00
