Ronald CALDECUTT POSITION,Ronald CALDECUTT LAP TIME,Ronald CALDECUTT ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,7.12,7.12,1,6.92,6.92,4,7.26,7.26,3,7.13,7.13,5,7.39,7.39
3,9.37,16.49,1,8.94,15.86,4,9.24,16.50,2,9.13,16.26,5,9.18,16.57
5,9.04,25.53,1,8.45,24.31,4,8.87,25.37,2,8.65,24.91,3,8.64,25.21
5,9.12,34.65,1,8.53,32.84,4,9.11,34.48,2,8.83,33.74,3,8.71,33.92
5,9.38,44.024,1,8.70,41.536,4,9.50,43.978,2,8.93,42.668,3,8.82,42.732
