TURKEY POSITION,TURKEY LAP TIME,TURKEY ELAPSED TIME,CANADA POSITION,CANADA LAP TIME,CANADA ELAPSED TIME,ITALY POSITION,ITALY LAP TIME,ITALY ELAPSED TIME,BELARUS POSITION,BELARUS LAP TIME,BELARUS ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME
1,12.34,12.34,4,12.96,12.96,2,12.71,12.71,5,13.14,13.14,3,12.81,12.81
1,9.57,21.91,4,9.72,22.68,2,9.71,22.42,5,9.70,22.84,3,9.70,22.51
1,9.82,31.73,4,9.48,32.16,2,9.44,31.86,5,9.55,32.39,3,9.50,32.01
1,9.31,41.04,4,9.20,41.36,2,9.22,41.08,5,9.22,41.61,3,9.23,41.24
4,9.35,50.39,3,8.99,50.35,1,8.92,50.00,5,9.31,50.92,2,8.99,50.23
4,9.10,59.49,3,8.90,59.25,1,9.00,59.00,5,9.18,1:00.10,2,8.90,59.13
3,8.90,1:08.39,4,9.18,1:08.43,1,9.13,1:08.13,5,9.11,1:09.21,2,9.12,1:08.25
4,9.59,1:17.98,3,9.09,1:17.52,1,9.18,1:17.31,5,8.96,1:18.17,2,9.14,1:17.39
4,9.14,1:27.12,3,9.17,1:26.69,1,9.18,1:26.49,5,9.01,1:27.18,2,9.21,1:26.60
4,9.13,1:36.25,3,9.29,1:35.98,1,9.32,1:35.81,5,9.26,1:36.44,2,9.30,1:35.90
4,9.37,1:45.62,2,9.13,1:45.11,1,9.16,1:44.97,5,9.34,1:45.78,3,9.38,1:45.28
4,9.19,1:54.81,2,9.21,1:54.32,1,9.26,1:54.23,5,9.15,1:54.93,3,9.17,1:54.45
4,9.12,2:03.93,2,9.12,2:03.44,1,9.13,2:03.36,5,9.20,2:04.13,3,9.16,2:03.61
4,9.26,2:13.19,1,8.89,2:12.33,2,9.08,2:12.44,5,9.22,2:13.35,3,8.98,2:12.59
4,8.95,2:22.14,1,9.08,2:21.41,2,9.05,2:21.49,5,9.12,2:22.47,3,9.01,2:21.60
4,9.28,2:31.42,1,9.03,2:30.44,2,9.03,2:30.52,5,9.20,2:31.67,3,9.05,2:30.65
4,9.50,2:40.92,1,9.09,2:39.53,2,9.06,2:39.58,5,9.28,2:40.95,3,9.10,2:39.75
5,9.48,2:50.40,1,9.18,2:48.71,2,9.25,2:48.83,4,9.39,2:50.34,3,9.23,2:48.98
4,8.86,2:59.26,1,9.12,2:57.83,2,9.07,2:57.90,5,9.03,2:59.37,3,9.01,2:57.99
5,9.44,3:08.70,1,9.04,3:06.87,3,9.23,3:07.13,4,9.05,3:08.42,2,9.01,3:07.00
5,9.67,3:18.37,1,9.14,3:16.01,3,9.06,3:16.19,4,8.94,3:17.36,2,9.09,3:16.09
5,9.49,3:27.86,1,8.99,3:25.00,3,9.04,3:25.23,4,9.34,3:26.70,2,9.02,3:25.11
