Triphop THONGNGAM POSITION,Triphop THONGNGAM LAP TIME,Triphop THONGNGAM ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
6,10.74,10.74,1,10.37,10.37,5,10.66,10.66,3,10.49,10.49,4,10.53,10.53,2,10.41,10.41
6,14.59,25.33,3,14.57,24.94,5,14.46,25.12,2,14.31,24.80,4,14.49,25.02,1,14.26,24.67
6,14.60,39.93,3,14.53,39.47,5,14.69,39.81,2,14.54,39.34,4,14.61,39.63,1,14.53,39.20
6,14.24,54.17,3,14.24,53.71,5,14.20,54.01,1,14.08,53.42,4,14.22,53.85,2,14.38,53.58
6,12.19,1:06.36,2,12.13,1:05.84,5,12.16,1:06.17,1,12.35,1:05.77,4,12.23,1:06.08,3,12.36,1:05.94
6,10.91,1:17.27,1,10.84,1:16.68,5,10.84,1:17.01,2,11.02,1:16.79,3,10.74,1:16.82,4,10.96,1:16.90
6,10.06,1:27.33,2,10.20,1:26.88,5,10.09,1:27.10,4,10.15,1:26.94,1,9.94,1:26.76,3,10.00,1:26.90
6,10.39,1:37.72,5,10.60,1:37.48,4,10.32,1:37.42,3,10.44,1:37.38,1,10.42,1:37.18,2,10.40,1:37.30
6,10.30,1:48.02,5,10.17,1:47.65,4,10.06,1:47.48,1,9.87,1:47.25,3,10.27,1:47.45,2,10.04,1:47.34
6,9.63,1:57.65,3,9.39,1:57.04,5,9.79,1:57.27,1,9.59,1:56.84,4,9.71,1:57.16,2,9.59,1:56.93
6,9.65,2:07.30,3,9.18,2:06.22,5,9.08,2:06.35,1,9.17,2:06.01,4,9.18,2:06.34,2,9.17,2:06.10
6,10.30,2:17.60,3,8.84,2:15.06,5,8.99,2:15.34,1,8.86,2:14.87,4,8.90,2:15.24,2,8.86,2:14.96
6,10.61,2:28.21,3,8.83,2:23.89,4,8.78,2:24.12,2,8.85,2:23.72,5,9.11,2:24.35,1,8.73,2:23.69
6,11.17,2:39.381,3,8.88,2:32.77,4,8.69,2:32.817,2,8.99,2:32.71,5,9.23,2:33.582,1,8.94,2:32.63
