KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,William PREUDHOMME POSITION,William PREUDHOMME LAP TIME,William PREUDHOMME ELAPSED TIME
2,7.05,7.05,1,6.91,6.91,3,7.19,7.19,4,7.31,7.31,5,7.53,7.53
3,9.14,16.19,1,8.85,15.76,2,8.94,16.13,4,8.97,16.28,5,9.05,16.58
4,9.05,25.24,1,8.39,24.15,2,8.55,24.68,5,30.23,46.51,3,8.61,25.19
4,9.06,34.30,1,8.55,32.70,2,8.57,33.25,5,21.10,1:07.61,3,8.70,33.89
4,9.34,43.638,1,8.99,41.682,2,8.71,41.951,0,,notime,3,8.83,42.713
