Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME
1,11.73,11.73,2,12.12,12.12,3,12.41,12.41,4,12.42,12.42,5,12.61,12.61
1,9.42,21.15,2,9.21,21.33,4,9.28,21.69,3,9.02,21.44,5,9.18,21.79
1,9.29,30.44,2,9.24,30.57,4,9.18,30.87,3,9.21,30.65,5,9.22,31.01
1,9.18,39.62,2,9.16,39.73,4,9.10,39.97,3,9.14,39.79,5,9.09,40.10
1,9.10,48.72,3,9.22,48.95,4,9.26,49.23,2,9.04,48.83,5,9.21,49.31
1,9.13,57.85,3,9.16,58.11,4,9.41,58.64,2,9.15,57.98,5,9.39,58.70
3,9.41,1:07.26,2,9.09,1:07.20,5,9.74,1:08.38,1,9.20,1:07.18,4,9.64,1:08.34
3,9.48,1:16.74,2,9.33,1:16.53,5,10.45,1:18.83,1,9.25,1:16.43,4,10.23,1:18.57
3,10.00,1:26.74,2,9.42,1:25.95,5,10.61,1:29.447,1,9.43,1:25.86,4,10.48,1:29.052
