Yoann MARTINEZ POSITION,Yoann MARTINEZ LAP TIME,Yoann MARTINEZ ELAPSED TIME,Matej FILIP POSITION,Matej FILIP LAP TIME,Matej FILIP ELAPSED TIME,Tarik OMERAGIC POSITION,Tarik OMERAGIC LAP TIME,Tarik OMERAGIC ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME
4,14.60,14.60,3,14.45,14.45,1,14.23,14.23,2,14.34,14.34
4,11.09,25.69,3,11.11,25.56,1,11.11,25.34,2,11.10,25.44
4,10.85,36.54,3,10.85,36.41,1,10.88,36.22,2,10.86,36.30
4,10.95,47.49,3,10.94,47.35,1,10.89,47.11,2,10.92,47.22
4,10.31,57.80,3,10.27,57.62,2,10.41,57.52,1,10.25,57.47
3,9.70,1:07.50,2,9.73,1:07.35,4,10.24,1:07.76,1,9.78,1:07.25
3,9.76,1:17.26,2,9.86,1:17.21,4,9.93,1:17.69,1,9.88,1:17.13
1,9.27,1:26.53,3,9.83,1:27.04,4,10.17,1:27.86,2,9.84,1:26.97
1,9.23,1:35.756,2,10.23,1:37.268,3,10.46,1:38.320,4,15.33,1:42.292
