Dmitry MYASNIKOV POSITION,Dmitry MYASNIKOV LAP TIME,Dmitry MYASNIKOV ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Sergei KUDRIA POSITION,Sergei KUDRIA LAP TIME,Sergei KUDRIA ELAPSED TIME
1,6.80,6.80,3,7.09,7.09,2,6.90,6.90,4,7.35,7.35
1,9.19,15.99,3,9.16,16.26,2,9.11,16.01,4,9.47,16.82
2,8.82,24.82,3,8.78,25.04,1,8.73,24.75,4,9.44,26.26
2,8.97,33.80,3,8.93,33.97,1,8.90,33.65,4,9.67,35.93
2,9.89,43.684,0,,DQ,1,9.97,43.613,3,10.21,46.139
