Matej KRUPKA POSITION,Matej KRUPKA LAP TIME,Matej KRUPKA ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
1,9.995,9.995,4,11.176,11.176,5,11.345,11.345,2,10.132,10.132,3,10.563,10.563
1,13.839,23.834,5,13.247,24.423,3,12.751,24.096,2,13.751,23.883,4,13.750,24.313
1,12.427,36.261,3,12.291,36.714,4,12.650,36.746,2,12.560,36.443,5,12.559,36.872
1,11.780,48.042,5,11.875,48.589,3,11.621,48.367,2,11.678,48.122,4,11.586,48.458
1,11.470,59.512,4,11.249,59.838,3,11.455,59.821,2,11.416,59.538,5,11.525,59.983
1,11.208,1:10.720,3,11.175,1:11.013,4,11.243,1:11.065,2,11.224,1:10.762,5,11.087,1:11.070
2,10.638,1:21.357,5,10.838,1:21.851,4,10.485,1:21.549,3,10.619,1:21.381,1,10.230,1:21.300
4,10.020,1:31.378,5,9.781,1:31.632,3,9.790,1:31.339,2,9.689,1:31.070,1,9.686,1:30.986
4,9.930,1:41.307,5,9.766,1:41.398,2,9.935,1:41.274,3,10.237,1:41.307,1,10.191,1:41.177
2,10.285,1:51.592,5,10.378,1:51.776,1,10.234,1:51.508,4,10.391,1:51.698,3,10.503,1:51.680
5,10.535,2:02.127,4,10.350,2:02.126,3,10.409,2:01.917,2,10.152,2:01.850,1,9.904,2:01.584
4,11.038,2:13.165,2,10.292,2:12.418,3,10.747,2:12.665,5,25.957,2:27.807,1,10.078,2:11.662
4,10.639,2:23.804,1,9.408,2:21.825,3,11.139,2:23.804,5,13.757,2:41.564,2,10.220,2:21.882
3,10.722,2:34.526,1,9.724,2:31.549,4,11.713,2:35.517,5,13.499,2:55.063,2,10.856,2:32.738
