SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME
1,13.08,13.08,4,13.44,13.44,2,13.14,13.14,3,13.16,13.16
1,10.14,23.22,4,10.18,23.62,3,10.28,23.42,2,10.14,23.30
1,10.09,33.31,4,9.99,33.61,3,10.01,33.43,2,10.10,33.40
1,9.39,42.70,4,9.42,43.03,2,9.39,42.82,3,9.52,42.92
1,9.57,52.27,2,9.34,52.37,3,9.58,52.40,4,9.57,52.49
2,9.30,1:01.57,1,8.99,1:01.36,3,9.49,1:01.89,4,9.51,1:02.00
2,9.10,1:10.67,1,9.04,1:10.40,4,9.71,1:11.60,3,9.38,1:11.38
2,9.31,1:19.98,1,9.26,1:19.66,4,10.43,1:22.03,3,9.68,1:21.06
2,9.81,1:29.789,1,9.88,1:29.534,4,11.06,1:33.085,3,10.06,1:31.113
