Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
1,13.37,,4,13.52,13.52,3,13.51,13.51,2,13.41,13.41,5,13.69,
2,9.77,,4,9.78,23.30,3,9.71,23.22,1,9.65,23.06,5,9.66,
2,9.88,,3,9.81,33.11,4,9.92,33.14,1,9.88,32.94,5,9.90,
3,9.48,,2,9.38,42.49,4,9.57,42.71,1,9.44,42.38,5,9.56,
3,9.55,,2,9.43,51.92,5,9.52,52.23,1,9.44,51.82,4,9.31,
3,9.57,,2,9.66,1:01.58,5,9.64,1:01.87,1,9.68,1:01.50,4,9.63,
3,10.30,,4,10.40,1:11.98,2,10.01,1:11.88,1,9.88,1:11.38,5,21.84,
4,11.25,,3,9.65,1:21.63,2,9.61,1:21.49,1,9.70,1:21.08,5,13.64,
4,13.28,,3,9.58,1:31.204,2,9.66,1:31.139,1,9.78,1:30.814,5,12.43,
