MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
2,9.68,9.68,6,10.26,10.26,4,9.93,9.93,5,10.12,10.12,1,9.49,9.49,3,9.83,9.83
2,12.52,22.20,6,12.43,22.69,4,12.44,22.37,5,12.42,22.54,1,12.57,22.06,3,12.45,22.28
2,12.25,34.45,6,12.23,34.92,4,12.27,34.64,5,12.23,34.77,1,12.28,34.34,3,12.28,34.56
2,12.40,46.85,6,12.38,47.30,4,12.39,47.03,5,12.41,47.18,1,12.43,46.77,3,12.35,46.91
3,12.17,59.02,6,12.04,59.34,4,12.06,59.09,5,12.04,59.22,1,12.11,58.88,2,12.07,58.98
3,10.65,1:09.67,5,10.62,1:09.96,1,10.41,1:09.50,4,10.53,1:09.75,6,11.12,1:10.00,2,10.60,1:09.58
3,10.78,1:20.45,5,10.72,1:20.68,2,10.82,1:20.32,4,10.80,1:20.55,6,10.77,1:20.77,1,10.66,1:20.24
3,10.55,1:31.00,5,10.56,1:31.24,2,10.59,1:30.91,4,10.58,1:31.13,6,10.56,1:31.33,1,10.57,1:30.81
3,10.45,1:41.45,5,10.45,1:41.69,2,10.45,1:41.36,4,10.46,1:41.59,6,10.49,1:41.82,1,10.45,1:41.26
3,10.27,1:51.72,5,10.28,1:51.97,2,10.26,1:51.62,4,10.29,1:51.88,6,10.60,1:52.42,1,10.27,1:51.53
3,9.88,2:01.60,5,9.83,2:01.80,2,9.88,2:01.50,4,9.83,2:01.71,6,11.05,2:03.47,1,9.88,2:01.41
3,9.72,2:11.32,5,9.70,2:11.50,2,9.72,2:11.22,4,9.70,2:11.41,6,11.59,2:15.06,1,9.73,2:11.14
3,9.79,2:21.11,5,9.75,2:21.25,2,9.80,2:21.02,4,9.79,2:21.20,6,12.23,2:27.29,1,9.77,2:20.91
3,9.91,2:31.001,5,16.11,2:37.308,2,9.95,2:30.940,4,10.52,2:31.691,6,12.70,2:39.956,1,9.97,2:30.857
