Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Ales GORECKI POSITION,Ales GORECKI LAP TIME,Ales GORECKI ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME
1,13.18,13.18,2,13.28,13.28,3,13.40,13.40,4,13.42,13.42
2,10.02,23.20,3,10.02,23.30,4,10.09,23.49,1,9.61,23.03
1,9.59,32.79,3,9.69,32.99,4,9.62,33.11,2,9.85,32.88
1,9.86,42.65,3,9.85,42.84,4,9.86,42.97,2,9.87,42.75
1,9.45,52.10,3,9.42,52.26,4,9.36,52.33,2,9.45,52.20
1,9.36,1:01.46,2,9.41,1:01.67,3,9.42,1:01.75,4,9.58,1:01.78
1,9.06,1:10.52,2,9.02,1:10.69,3,9.11,1:10.86,4,9.46,1:11.24
1,9.24,1:19.76,2,9.34,1:20.03,3,9.20,1:20.06,4,9.79,1:21.03
1,9.42,1:29.178,3,9.60,1:29.630,2,9.55,1:29.605,4,10.12,1:31.144
