BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
2,12.83,12.83,1,12.72,12.72,3,12.91,12.91,4,13.00,13.00
4,10.00,22.83,2,9.94,22.66,1,9.63,22.54,3,9.74,22.74
4,9.68,32.51,2,9.70,32.36,1,9.71,32.25,3,9.70,32.44
4,9.53,42.04,1,9.36,41.72,3,9.61,41.86,2,9.36,41.80
3,9.47,51.51,1,9.54,51.26,4,9.71,51.57,2,9.52,51.32
3,9.59,1:01.10,1,9.50,1:00.76,4,9.61,1:01.18,2,9.55,1:00.87
4,10.04,1:11.14,1,9.40,1:10.16,3,9.75,1:10.93,2,9.37,1:10.24
4,10.29,1:21.43,1,9.42,1:19.58,3,10.10,1:21.03,2,9.43,1:19.67
4,10.42,1:31.843,1,9.57,1:29.144,3,10.72,1:31.748,2,9.55,1:29.215
