SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Alison DESMARAIS POSITION,Alison DESMARAIS LAP TIME,Alison DESMARAIS ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Avalon AARDOOM POSITION,Avalon AARDOOM LAP TIME,Avalon AARDOOM ELAPSED TIME
2,13.10,13.10,3,13.20,13.20,1,13.02,13.02,4,13.30,13.30,5,13.40,13.40
2,10.01,23.11,3,10.02,23.22,1,10.02,23.04,5,10.18,23.48,4,9.95,23.35
2,9.54,32.65,3,9.53,32.75,1,9.53,32.57,5,9.51,32.99,4,9.51,32.86
2,9.43,42.08,3,9.44,42.19,1,9.43,42.00,5,9.38,42.37,4,9.42,42.28
1,9.27,51.35,3,9.29,51.48,1,9.35,51.35,5,9.38,51.75,4,9.36,51.64
1,9.07,1:00.42,2,9.25,1:00.73,3,9.42,1:00.77,5,9.18,1:00.93,4,9.23,1:00.87
1,9.16,1:09.58,2,9.22,1:09.95,3,9.49,1:10.26,5,9.60,1:10.53,3,9.39,1:10.26
1,9.27,1:18.85,2,9.31,1:19.26,4,9.98,1:20.24,5,9.79,1:20.32,3,9.68,1:19.94
1,9.45,1:28.30,2,9.50,1:28.76,4,10.02,1:30.261,5,9.96,1:30.281,3,9.95,1:29.89
