LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Lauge Hye LANGKJER POSITION,Lauge Hye LANGKJER LAP TIME,Lauge Hye LANGKJER ELAPSED TIME,David GROSSENBACHER POSITION,David GROSSENBACHER LAP TIME,David GROSSENBACHER ELAPSED TIME
5,9.576,9.576,3,9.519,9.519,2,9.440,9.440,1,8.935,8.935,4,9.554,9.554
4,11.377,20.952,5,11.436,20.955,2,11.206,20.646,1,11.429,20.364,3,11.298,20.852
5,11.054,32.006,4,10.992,31.946,3,11.066,31.711,1,11.163,31.526,2,10.781,31.632
5,11.317,43.322,4,11.175,43.120,2,11.334,43.044,1,11.056,42.581,3,11.476,43.108
5,11.319,54.640,4,11.324,54.443,2,11.239,54.283,1,11.485,54.066,3,11.302,54.410
5,11.313,1:05.953,2,10.920,1:05.362,3,11.350,1:05.633,1,11.232,1:05.297,4,11.314,1:05.723
5,10.465,1:16.417,4,10.894,1:16.256,2,10.543,1:16.175,1,10.626,1:15.922,3,10.496,1:16.218
5,10.742,1:27.158,1,10.520,1:26.776,3,10.845,1:27.020,2,10.978,1:26.900,4,10.845,1:27.062
4,10.391,1:37.549,2,10.585,1:37.360,1,10.234,1:37.254,5,10.702,1:37.601,3,10.459,1:37.521
4,10.128,1:47.676,2,10.083,1:47.443,1,10.112,1:47.365,5,11.234,1:48.834,3,10.052,1:47.573
4,9.728,1:57.404,2,9.753,1:57.196,1,9.727,1:57.091,5,11.078,1:59.912,3,9.665,1:57.237
1,9.535,2:06.938,4,9.854,2:07.050,2,9.932,2:07.023,5,11.695,2:11.607,3,9.803,2:07.040
1,9.096,2:16.033,3,9.689,2:16.738,2,9.647,2:16.669,5,12.035,2:23.641,4,9.758,2:16.797
1,9.77,2:25.801,2,9.91,2:26.639,3,9.98,2:26.641,5,12.69,2:36.326,4,9.99,2:26.780
