CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME
1,13.006,13.006,3,13.358,13.358,2,13.227,13.227
1,9.533,22.539,3,9.546,22.904,2,9.652,22.879
1,9.290,31.828,2,10.226,33.129,3,14.376,37.255
1,9.656,41.484,2,9.147,42.276,3,10.590,47.844
1,9.646,51.129,2,10.148,52.424,3,9.968,57.812
1,9.683,1:00.811,2,9.842,1:02.266,3,9.314,1:07.126
1,9.832,1:10.642,2,9.560,1:11.825,3,10.016,1:17.142
1,9.406,1:20.048,2,9.520,1:21.344,3,9.492,1:26.633
1,9.672,1:29.720,2,9.748,1:31.092,3,9.637,1:36.270
1,9.869,1:39.588,2,9.985,1:41.077,3,9.987,1:46.256
1,9.907,1:49.494,2,10.266,1:51.342,3,9.495,1:55.751
1,9.526,1:59.020,2,10.033,2:01.374,3,9.497,2:05.247
1,9.495,2:08.514,2,9.669,2:11.043,3,9.542,2:14.789
1,9.339,2:17.853,2,9.527,2:20.570,3,9.858,2:24.647
1,9.771,2:27.624,2,10.055,2:30.624,3,10.151,2:34.798
1,9.454,2:37.077,2,10.169,2:40.793,3,9.873,2:44.670
1,9.548,2:46.624,2,10.297,2:51.089,3,9.741,2:54.411
1,9.614,2:56.237,2,10.351,3:01.440,3,9.531,3:03.942
1,9.437,3:05.674,2,9.545,3:10.984,3,10.032,3:13.974
1,9.841,3:15.514,2,9.848,3:20.832,3,10.368,3:24.342
1,10.022,3:25.536,2,9.959,3:30.791,3,9.583,3:33.924
1,9.643,3:35.179,2,10.464,3:41.255,3,9.873,3:43.797
1,9.654,3:44.832,2,10.593,3:51.847,3,9.593,3:53.390
1,9.531,3:54.363,2,10.379,4:02.225,3,10.122,4:03.511
1,9.412,4:03.774,2,9.588,4:11.813,3,10.243,4:13.754
1,10.256,4:14.030,2,9.803,4:21.616,3,9.727,4:23.481
1,11.34,4:25.370,2,10.07,4:31.680,3,10.28,4:33.752
