Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME
1,7.26,7.26,2,7.39,7.39,3,7.46,7.46,4,7.58,7.58
1,9.42,16.68,2,9.40,16.79,3,9.45,16.91,4,9.58,17.16
2,8.72,25.40,1,8.52,25.31,3,8.71,25.62,4,9.06,26.22
2,8.76,34.16,1,8.71,34.02,3,8.68,34.30,4,9.20,35.42
2,8.95,43.105,1,8.88,42.898,3,8.85,43.149,4,9.44,44.853
