EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,Simon FRANCIS POSITION,Simon FRANCIS LAP TIME,Simon FRANCIS ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
2,7.16,7.16,1,7.14,,3,7.30,7.30,5,7.44,7.44,4,7.37,7.37
2,9.23,16.39,1,9.01,,4,9.27,16.57,5,9.35,16.79,3,9.10,16.47
1,8.46,24.85,2,8.71,,4,8.65,25.22,5,8.74,25.53,3,8.51,24.98
1,8.67,33.52,3,8.81,,4,8.75,33.97,5,8.97,34.50,2,8.60,33.58
1,8.99,42.51,2,8.93,,3,9.14,43.097,4,9.17,43.658,3,9.12,42.70
