KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
3,12.77,12.77,4,12.87,12.87,2,12.67,12.67,1,12.59,12.59
3,9.58,22.35,4,9.61,22.48,1,9.50,22.17,2,9.70,22.29
3,9.54,31.89,4,9.55,32.03,1,9.56,31.73,2,9.53,31.82
3,9.29,41.18,4,9.27,41.30,1,9.31,41.04,2,9.28,41.10
3,9.18,50.36,4,9.20,50.50,1,9.15,50.19,2,9.17,50.27
3,9.09,59.45,4,9.05,59.55,1,9.09,59.28,2,9.09,59.36
3,8.88,1:08.33,4,8.96,1:08.51,1,8.92,1:08.20,2,8.92,1:08.28
1,8.67,1:17.00,4,8.93,1:17.44,2,8.85,1:17.05,3,9.02,1:17.30
1,8.77,1:25.766,4,9.11,1:26.542,2,8.94,1:25.988,3,9.19,1:26.482
