Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME
2,13.13,13.13,3,13.29,13.29,1,13.03,13.03,4,13.37,13.37
2,10.42,23.55,3,10.39,23.68,1,10.43,23.46,4,10.40,23.77
2,10.22,33.77,3,10.19,33.87,1,10.22,33.68,4,10.24,34.01
2,9.75,43.52,3,9.77,43.64,1,9.77,43.45,4,9.64,43.65
1,9.19,52.71,3,9.23,52.87,2,9.26,52.71,4,9.37,53.02
1,8.86,1:01.57,2,8.78,1:01.65,3,9.06,1:01.77,4,8.86,1:01.88
1,8.69,1:10.26,2,8.84,1:10.49,3,8.80,1:10.57,4,8.82,1:10.70
1,8.75,1:19.01,2,8.75,1:19.24,3,8.88,1:19.45,4,8.95,1:19.65
1,9.01,1:28.014,2,9.03,1:28.265,3,9.20,1:28.647,4,9.26,1:28.904
