Mateusz MIKOLAJUK POSITION,Mateusz MIKOLAJUK LAP TIME,Mateusz MIKOLAJUK ELAPSED TIME,SEJPAL Zdenek POSITION,SEJPAL Zdenek LAP TIME,SEJPAL Zdenek ELAPSED TIME,TENZER Robin POSITION,TENZER Robin LAP TIME,TENZER Robin ELAPSED TIME,KWOK Tsz Ho POSITION,KWOK Tsz Ho LAP TIME,KWOK Tsz Ho ELAPSED TIME,Danylo FEDORENKO POSITION,Danylo FEDORENKO LAP TIME,Danylo FEDORENKO ELAPSED TIME
1,6.99,,2,7.15,7.15,3,7.42,7.42,5,8.03,8.03,4,7.53,7.53
1,9.21,,2,9.19,16.34,3,9.31,16.73,5,10.13,18.16,4,9.27,16.80
5,24.74,,1,8.94,25.28,2,8.78,25.51,4,9.94,28.10,3,8.92,25.72
5,15.75,,1,8.98,34.26,2,8.86,34.37,4,9.97,38.07,3,8.90,34.62
5,14.17,,1,9.05,43.318,2,9.01,43.383,4,10.41,48.484,3,9.07,43.697
