DEL MEDICO Vincent POSITION,DEL MEDICO Vincent LAP TIME,DEL MEDICO Vincent ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Jeff SCHOLTEN POSITION,Jeff SCHOLTEN LAP TIME,Jeff SCHOLTEN ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
1,6.961,6.961,2,7.171,7.171,3,7.237,7.237,4,7.300,7.300
1,9.448,16.409,3,9.402,16.573,2,9.221,16.458,4,9.479,16.778
2,9.246,25.654,3,9.088,25.660,1,8.840,25.297,4,8.941,25.719
3,9.271,34.924,2,8.880,34.539,1,8.820,34.117,4,9.250,34.968
4,9.55,44.474,1,8.87,43.408,2,9.36,43.473,3,9.30,44.264
