HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME
1,6.91,6.91,2,7.18,7.18,4,7.43,7.43,4,7.43,7.43,3,7.41,7.41
1,8.98,15.89,2,9.00,16.18,5,9.47,16.90,3,8.99,16.42,4,9.26,16.67
1,8.54,24.43,2,8.39,24.57,5,8.86,25.76,3,8.46,24.88,4,8.71,25.38
1,8.57,33.00,2,8.51,33.08,5,8.94,34.70,3,8.58,33.46,4,8.76,34.14
2,8.79,41.79,1,8.65,41.73,5,9.04,43.733,3,8.65,42.098,4,8.83,42.961
